SKU,PartNo,Description,Dept,Category,Manufacturer,Onhand New,OnHand Used, Allocated,store_price,cost,total Value New,Total Value Used,desc1,desc2,desc3,desc4,desc5,desc1a,desc2a,desc3a,desc4a,desc5a
10076683052015,5201,BLAZER 9MM 124GR 1000RD CASE,MERCHANDISE,AMMUNITION,CCI/SPEER,4,0,0,239.99,199.8,799.2,0,,,,,,Desc 1,Desc 2,Desc 3,,
8605003812173,8605003812173,PPU MATCH LINE 7.62X54R FMJ BT,MERCHANDISE,AMMUNITION,PPU,5,0,0,25.99,15.31,76.55,0,,,,,,Desc 1,Desc 2,Desc 3,,
810036150262,810036150262, NEW REBUBLIC 357MAG 158GR FMJ-FP 50RD,MERCHANDISE,AMMUNITION,NEW REPUBLIC,5,0,0,27.99,16.65,83.25,0,,,,,,Desc 1,Desc 2,Desc 3,,
029465063399,P243TC1,FDR CART 243 85GR COPPER VSHK,MERCHANDISE,AMMUNITION,FEDERAL,8,0,0,39.99,24.29,194.32,0,,243,Shotgun,,,Desc 1,Desc 2,Desc 3,,
029465097936,F3030FS2,FDR FUSION 30-30 170GR,MERCHANDISE,AMMUNITION,FEDERAL,5,0,0,32.99,19.43,97.15,0,,30-30,N/A,,,Desc 1,Desc 2,Desc 3,,
029465525927,TG121 8,FEDERAL TOP GUN 12 GA 2-3/4 1OZ 8 SHOT 250RD CASE,MERCHANDISE,AMMUNITION,FEDERAL,1,0,0,111.99,89.1,89.1,0,,,,,,Desc 1,Desc 2,Desc 3,,
,GC1218-250,REMINGTON GUN CLUB TARGET 12GA 2 3/4 1OZ 8 SHOT 250RD CASE,MERCHANDISE,AMMUNITION,REMINGTON,3,0,0,111.99,89.99,269.97,0,,,,,,Desc 1,Desc 2,Desc 3,,
604544653304,113663,SPEER GOLD DOT G2 40,MERCHANDISE,AMMUNITION,SPEER,2,0,0,44.99,26.42,52.84,0,,,,,,Desc 1,Desc 2,Desc 3,,
604544658163,121143,FED P10SHC 10MM 200,MERCHANDISE,AMMUNITION,FEDERAL,1,0,0,42.99,25.68,25.68,0,,,,,,Desc 1,Desc 2,Desc 3,,
604544646702,110418,FED 10MM HST JHP,MERCHANDISE,AMMUNITION,FEDERAL,2,0,0,48.99,29.07,58.14,0,,,,,,Desc 1,Desc 2,Desc 3,,
604544658149,121141,FED SYN 40 S&W AMMO,MERCHANDISE,AMMUNITION,FEDERAL,2,0,0,39.99,23.2,46.4,0,,,,,,Desc 1,Desc 2,Desc 3,,
3877002037177,3877002037177,IGMAN  147 GR .308 WIN 20RD,MERCHANDISE,AMMUNITION,IGMAN,17,0,1,25.99,15.3,260.1,0,,,,,,Desc 1,Desc 2,Desc 3,,
029465001438,H126-7.5,FDR GAME HB 12G 2.75-1.25-7.5,MERCHANDISE,AMMUNITION,FEDERAL,9,0,0,16.99,10.09,90.81,0,,12 Gauge,Shotgun,,,Desc 1,Desc 2,Desc 3,,
604544658132,P9SHC1,FEDERAL PREMIUM 9MM 147GR SOILD CORE +P ANIMAL DEFENSE,MERCHANDISE,AMMUNITION,FEDERAL,4,0,0,42.99,26.09,104.36,0,,,,,,Desc 1,Desc 2,Desc 3,,
047700496207,108472,REM HTP 357 158GR,MERCHANDISE,AMMUNITION,REMINGTON,2,0,0,39.99,23.9,47.8,0,,,,,,Desc 1,Desc 2,Desc 3,,
754908367115,22032-08,CBC 556 50 ROUNDS,MERCHANDISE,AMMUNITION,MAG TACTICAL SYSTEM,10,0,0,32.99,19.35,193.5,0,,,,,,Desc 1,Desc 2,Desc 3,,
640420003146,AGA1E382521,AGUILA 38SPL 130GR FMJ 50/1000,MERCHANDISE,AMMUNITION,AGUILA AMMUNITION,16,0,0,32.99,19.65,314.4,0,,,,,,Desc 1,Desc 2,Desc 3,,
029465094485,P45HST1,FEDERAL HST 45 AUTO 230 GRAIN +P,MERCHANDISE,AMMUNITION,FEDERAL,5,0,0,55.99,33.75,168.75,0,,,,,,Desc 1,Desc 2,Desc 3,,
020892230750,RED65140,WINCHESTER USA READY 6.5 CREEDMOOR 140 GR,MERCHANDISE,AMMUNITION,WINCHESTER,5,0,0,31.99,19.35,96.75,0,,,,,,Desc 1,Desc 2,Desc 3,,
029465093099,C45LCA,FDR CART 45C 225GR WAD HP CHMP,MERCHANDISE,AMMUNITION,FEDERAL,3,0,0,25.99,15.55,46.65,0,,45LC,Shotgun,,,Desc 1,Desc 2,Desc 3,,
029465023867,TG147-7,FDR TG STEEL 12G 2.75-1.125-7,MERCHANDISE,AMMUNITION,FEDERAL,10,0,0,19.99,12.19,121.9,0,,12 Gauge,Shotgun,,,Desc 1,Desc 2,Desc 3,,
029465026431,TG251-7,FDR TG STEEL 20G 2.75-.875-7,MERCHANDISE,AMMUNITION,FEDERAL,20,0,0,24.99,14.55,291,0,,20 Gauge,Shotgun,,,Desc 1,Desc 2,Desc 3,,
612789318865,TS-P320SCL-BLACK,TYRANT CNC P320 SLIDE CATCH LEVER,MERCHANDISE,AMMUNITION,TYRANT CNC,1,0,0,39.99,26.61,26.61,0,,,,,,Desc 1,Desc 2,Desc 3,,
651815019239,BBAC-19C/20,BUFFALO BORE 357 158GR HP 1475FPS 763FT LBS,MERCHANDISE,AMMUNITION,BUFFALO BORE,3,0,0,47.99,29.07,87.21,0,,,,,,Desc 1,Desc 2,Desc 3,,
816874020446,124-UA,UNDERWOOD 357 158GR XTP JHP 1500FPS,MERCHANDISE,AMMUNITION,UNDERWOOD,1,0,0,39.99,18.51,18.51,0,,,,,,Desc 1,Desc 2,Desc 3,,
,GC357M9-200,GRIZZLEY 357 200RDS,MERCHANDISE,AMMUNITION,GRIZZLY,1,0,0,295.99,238.9,238.9,0,,,,,,Desc 1,Desc 2,Desc 3,,
000000095006,9500,HSL 9MM 115GR 500RDS,MERCHANDISE,AMMUNITION,HSL AMMUNITION,1,0,1,111.99,93,93,0,,,,,,Desc 1,Desc 2,Desc 3,,
000002232508,HSL223250RD,HSL 223 250RD 55GR FMJ,MERCHANDISE,AMMUNITION,HSL AMMUNITION,11,0,1,109.99,90.75,998.25,0,,,,,,Desc 1,Desc 2,Desc 3,,
816874027643,M2205-020,UNDERWOOD 9MM EXTREME DEFENDER PLATINUM 90GR 1400FPS,MERCHANDISE,AMMUNITION,UNDERWOOD,5,0,0,37.99,22.99,114.95,0,,,,,,Desc 1,Desc 2,Desc 3,,
